track_name,artist(s)_name,streams,in_deezer_playlists,in_shazam_charts,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,date,rank,last-week,peak-rank,weeks-on-board
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",141381703,45,826,2.0,2023.0,7.0,14.0,553.0,147.0,43.0,263.0,10.0,125.0,B,Major,80.0,89.0,83.0,31.0,0.0,8.0,4.0,?,,,,
LALA,Myke Towers,133716286,58,382,1.0,2023.0,3.0,23.0,1474.0,48.0,48.0,126.0,14.0,92.0,C#,Major,71.0,61.0,74.0,7.0,0.0,10.0,4.0,?,,,,
vampire,Olivia Rodrigo,140003974,91,949,1.0,2023.0,6.0,30.0,1397.0,113.0,94.0,207.0,14.0,138.0,F,Major,51.0,32.0,53.0,17.0,0.0,31.0,6.0,?,,,,
Cruel Summer,Taylor Swift,800840817,125,548,1.0,2019.0,8.0,23.0,7858.0,100.0,116.0,207.0,12.0,170.0,A,Major,55.0,58.0,72.0,11.0,0.0,11.0,15.0,2019-09-14 00:00:00,71.0,29.0,29.0,2.0
WHERE SHE GOES,Bad Bunny,303236322,87,425,1.0,2023.0,5.0,18.0,3133.0,50.0,84.0,133.0,15.0,144.0,A,Minor,65.0,23.0,80.0,14.0,63.0,11.0,6.0,?,,,,
Sprinter,"Dave, Central Cee",183706234,88,946,2.0,2023.0,6.0,1.0,2186.0,91.0,67.0,213.0,17.0,141.0,C#,Major,92.0,66.0,58.0,19.0,0.0,8.0,24.0,?,,,,
Ella Baila Sola,"Eslabon Armado, Peso Pluma",725980112,43,418,2.0,2023.0,3.0,16.0,3090.0,50.0,34.0,222.0,13.0,148.0,F,Minor,67.0,83.0,76.0,48.0,0.0,8.0,3.0,?,,,,
Columbia,Quevedo,58149378,30,194,1.0,2023.0,7.0,7.0,714.0,43.0,25.0,89.0,13.0,100.0,F,Major,67.0,26.0,71.0,37.0,0.0,11.0,4.0,?,,,,
fukumean,Gunna,95217315,48,953,1.0,2023.0,5.0,15.0,1096.0,83.0,60.0,210.0,11.0,130.0,C#,Minor,85.0,22.0,62.0,12.0,0.0,28.0,9.0,?,,,,
La Bebe - Remix,"Peso Pluma, Yng Lvcas",553634067,66,339,2.0,2023.0,3.0,17.0,2953.0,44.0,49.0,110.0,13.0,170.0,D,Minor,81.0,56.0,48.0,21.0,0.0,8.0,33.0,?,,,,
